Startup Name;Industry;Funding Rounds; Investment Amount (USD)  ;Investment Amount (K USD) ; Valuation (USD) ;Valuation (K USD);Number of Investors;Country;Year Founded;Growth Rate (%);Ranking by value;Old;ROI (%);Average investment per round (K USD) 
Startup_12;E-commerce;2; $172.659.743.789 ;172659,74; $7.608.269.223.785.210 ;7608269223,79;19;Canada;2021; 1.990 ;Superunicorn;4;44064,10201;9087,354936
Startup_13;HealthTech;5; $18.185.623.441 ;18185,62; $4.835.268.340.067.290 ;4835268340,07;14;China;2000; 10.573 ;Superunicorn;25;265883,112;1298,973103
Startup_14;E-commerce;7; $109.596.148.041 ;109596,15; $3.965.453.491.279.290 ;3965453491,28;44;Australia;2016; 3.195 ;Superunicorn;9;36181,41665;2490,821546
Startup_15;Blockchain;3; $419.548.154.525 ;419548,15; $13.491.122.379.384.000 ;13491122379,38;24;India;2009; 9.934 ;Superunicorn;16;32155,31444;17481,17311
Startup_16;EdTech;6; $309.836.668.883 ;309836,67; $7.743.384.208.769.790 ;7743384208,77;32;UK;2008; 14.201 ;Superunicorn;17;24990,8263;9682,395903
Startup_17;SaaS;2; $254.521.031.874 ;254521,03; $11.381.431.784.364.100 ;11381431784,36;46;Australia;2010; 1.645 ;Superunicorn;15;44716,05816;5533,06591
Startup_18;Biotech;4; $269.591.406.944 ;269591,41; $1.149.205.084.025.100 ;1149205084,03;29;Brazil;2013; 2.517 ;Superunicorn;12;4261,766002;9296,255412
Startup_19;E-commerce;9; $343.476.556.555 ;343476,56; $102.003.040.171.882 ;102003040,17;28;Singapore;2021; 9.338 ;Superunicorn;4;295,97235;12267,01988
Startup_20;SaaS;1; $56.742.902.903 ;56742,90; $28.053.475.168.289.400 ;28053475168,29;50;UK;2016; 11.576 ;Superunicorn;9;494395,1929;1134,858058
Startup_21;Blockchain;7; $342.705.857.636 ;342705,86; $12.358.527.827.868.400 ;12358527827,87;35;Brazil;2001; 4.626 ;Superunicorn;24;36060,6183;9791,595932
Startup_22;SaaS;4; $346.538.784.944 ;346538,78; $5.927.235.280.188.160 ;5927235280,19;45;Singapore;2021; 10.746 ;Superunicorn;4;17103,1036;7700,861888
Startup_23;EdTech;9; $456.675.428.414 ;456675,43; $7.545.805.565.319.330 ;7545805565,32;7;Singapore;2014; 6.976 ;Superunicorn;11;16522,3448;65239,34692
Startup_24;AI;4; $302.172.951.751 ;302172,95; $5.211.428.908.023.630 ;5211428908,02;2;USA;2014; 11.499 ;Superunicorn;11;17245,51024;151086,4759
Startup_25;E-commerce;8; $28.820.512.158 ;28820,51; $14.150.802.314.529.800 ;14150802314,53;22;Germany;2021; 17.628 ;Superunicorn;4;490996,6005;1310,02328
Startup_26;E-commerce;10; $333.450.834.999 ;333450,83; $5.015.410.780.912.430 ;5015410780,91;1;Brazil;2017; 15.484 ;Superunicorn;8;15039,93034;333450,835
Startup_27;Biotech;2; $416.649.916.252 ;416649,92; $16.357.699.018.240.300 ;16357699018,24;22;Germany;2002; 8.281 ;Superunicorn;23;39259,05594;18938,63256
Startup_28;EdTech;5; $44.001.161.523 ;44001,16; $15.654.658.403.469.200 ;15654658403,47;9;China;2013; 14.655 ;Superunicorn;12;355777,2991;4889,017947
Startup_29;E-commerce;3; $32.560.222.949 ;32560,22; $8.096.886.148.448.480 ;8096886148,45;48;USA;2010; 9.975 ;Superunicorn;15;248673,1618;678,3379781
Startup_30;SaaS;5; $302.641.946.915 ;302641,95; $6.802.919.454.497.740 ;6802919454,50;13;Brazil;2005; 4.737 ;Superunicorn;20;22477,44201;23280,14976
Startup_31;AI;9; $470.504.282.465 ;470504,28; $17.203.808.326.963.200 ;17203808326,96;35;Germany;2002; 8.795 ;Superunicorn;23;36563,61581;13442,9795
Startup_32;E-commerce;1; $429.444.981.139 ;429444,98; $20.891.484.639.412.100 ;20891484639,41;8;China;2019; 9.151 ;Superunicorn;6;48646,63953;53680,62264
Startup_33;AI;7; $286.717.017.415 ;286717,02; $6.499.884.835.941.130 ;6499884835,94;27;Germany;2019; 833 ;Superunicorn;6;22669,03506;10619,14879
Startup_34;EdTech;9; $437.465.951.973 ;437465,95; $6.662.238.862.925.450 ;6662238862,93;2;France;2016; 19.658 ;Superunicorn;9;15228,15974;218732,976
Startup_35;Blockchain;6; $377.751.364.739 ;377751,36; $15.234.607.026.317.100 ;15234607026,32;12;Australia;2003; 18.659 ;Superunicorn;22;40328,72068;31479,28039
Startup_36;Blockchain;3; $364.751.498.749 ;364751,50; $5.586.375.044.628.250 ;5586375044,63;18;Australia;2014; 1.316 ;Superunicorn;11;15314,56433;20263,97215
Startup_37;AI;10; $441.123.480.476 ;441123,48; $11.691.080.168.103.400 ;11691080168,10;50;Canada;2011; 14.711 ;Superunicorn;14;26501,96501;8822,46961
Startup_38;Fintech;6; $272.586.716.562 ;272586,72; $4.089.854.368.774.710 ;4089854368,77;19;USA;2022; 18.772 ;Superunicorn;3;15002,86527;14346,66929
Startup_39;HealthTech;5; $479.085.185.176 ;479085,19; $22.981.467.971.673.500 ;22981467971,67;20;USA;2001; 3.371 ;Superunicorn;24;47968,48159;23954,25926
Startup_40;AI;1; $275.178.627.472 ;275178,63; $8.856.652.982.291.240 ;8856652982,29;14;India;2005; 979 ;Superunicorn;20;32184,10487;19655,61625
Startup_41;AI;5; $397.216.877.593 ;397216,88; $1.889.305.107.968.140 ;1889305107,97;49;Canada;2016; 10.499 ;Superunicorn;9;4755,356576;8106,46689
Startup_42;EdTech;9; $103.622.259.689 ;103622,26; $39.647.156.221.792.400 ;39647156221,79;25;Australia;2016; 11.052 ;Superunicorn;9;382611,3493;4144,890388
Startup_43;E-commerce;5; $163.882.748.293 ;163882,75; $35.453.515.283.056.800 ;35453515283,06;38;Brazil;2017; 16.734 ;Superunicorn;8;216333,6396;4312,703902
Startup_44;SaaS;5; $276.790.647.948 ;276790,65; $11.784.319.878.460.000 ;11784319878,46;17;USA;2005; 15.361 ;Superunicorn;20;42573,84841;16281,80282
Startup_45;E-commerce;7; $34.805.209.688 ;34805,21; $13.041.915.911.934.900 ;13041915911,93;30;France;2010; 12.565 ;Superunicorn;15;374710,6029;1160,173656
Startup_46;AI;5; $325.443.946.331 ;325443,95; $7.876.334.439.049.740 ;7876334439,05;20;Australia;2016; 14.704 ;Superunicorn;9;24200,81579;16272,19732
Startup_47;Blockchain;6; $403.261.516.005 ;403261,52; $20.078.014.719.067.600 ;20078014719,07;38;France;2000; 4.873 ;Superunicorn;25;49788,0672;10612,14516
Startup_48;E-commerce;2; $47.526.952.808 ;47526,95; $2.223.977.127.625.990 ;2223977127,63;49;Germany;2012; 4.813 ;Superunicorn;13;46793,01889;969,9378124
Startup_49;Biotech;2; $489.785.543.355 ;489785,54; $8.005.010.523.680.100 ;8005010523,68;16;France;2011; 12.239 ;Superunicorn;14;16342,90935;30611,59646
Startup_50;HealthTech;10; $197.960.487.809 ;197960,49; $8.694.160.540.971.280 ;8694160540,97;4;UK;2013; 1.264 ;Superunicorn;12;43917,66598;49490,12195
Startup_51;Blockchain;4; $28.761.531.193 ;28761,53; $5.826.669.173.859.350 ;5826669173,86;18;Australia;2001; 13.819 ;Superunicorn;24;202584,4999;1597,862844
Startup_52;Fintech;8; $232.174.588.025 ;232174,59; $6.758.206.634.670.490 ;6758206634,67;32;USA;2000; 19.274 ;Superunicorn;25;29107,29601;7255,455876
Startup_53;Blockchain;10; $67.558.786.457 ;67558,79; $1.229.453.482.539.440 ;1229453482,54;26;USA;2014; 13.982 ;Superunicorn;11;18197,2766;2598,414864
Startup_54;E-commerce;3; $117.610.121.628 ;117610,12; $3.251.064.586.116.900 ;3251064586,12;4;Australia;2002; 19.829 ;Superunicorn;23;27641,72786;29402,53041
Startup_55;HealthTech;2; $360.477.889.984 ;360477,89; $1.692.240.967.152.040 ;1692240967,15;3;Germany;2018; 719 ;Superunicorn;7;4693,437618;120159,2967
Startup_56;E-commerce;7; $48.307.379.381 ;48307,38; $1.734.781.494.571.880 ;1734781494,57;5;Brazil;2020; 9.266 ;Superunicorn;5;35910,31452;9661,475876
Startup_57;SaaS;1; $43.603.135.920 ;43603,14; $9.907.684.658.828.940 ;9907684658,83;37;China;2019; 16.082 ;Superunicorn;6;227223,1308;1178,463133
Startup_58;HealthTech;6; $202.836.112.874 ;202836,11; $6.102.998.475.328.900 ;6102998475,33;29;Germany;2009; 11.937 ;Superunicorn;16;30087,32298;6994,34872
Startup_59;AI;2; $275.685.523.244 ;275685,52; $11.130.347.512.391.500 ;11130347512,39;25;Australia;2007; 1.570 ;Superunicorn;18;40372,3478;11027,42093
Startup_60;Fintech;6; $8.204.551.246 ;8204,55; $18.408.366.547.642.300 ;18408366547,64;31;Australia;2009; 5.783 ;Superunicorn;16;2243676,441;264,6629434
Startup_61;AI;5; $44.378.720.476 ;44378,72; $6.878.102.854.758.720 ;6878102854,76;22;Singapore;2013; 10.786 ;Superunicorn;12;154985,5066;2017,214567
Startup_62;SaaS;8; $192.423.565.636 ;192423,57; $3.798.190.442.146.420 ;3798190442,15;37;UK;2010; 10.421 ;Superunicorn;15;19737,69692;5200,636909
Startup_63;Biotech;4; $246.396.707.434 ;246396,71; $5.665.325.649.959.250 ;5665325649,96;44;France;2008; 5.386 ;Superunicorn;17;22991,7003;5599,925169
Startup_64;E-commerce;3; $447.078.816.424 ;447078,82; $1.941.836.678.532.560 ;1941836678,53;16;USA;2019; 584 ;Superunicorn;6;4342,387804;27942,42603
Startup_65;AI;3; $481.553.428.092 ;481553,43; $20.158.491.149.734.700 ;20158491149,73;45;China;2008; 2.542 ;Superunicorn;17;41860,38022;10701,18729
Startup_66;AI;6; $36.591.386.056 ;36591,39; $16.720.372.541.104.100 ;16720372541,10;21;India;2017; 14.435 ;Superunicorn;8;456947,3243;1742,446955
Startup_67;SaaS;6; $299.665.958.302 ;299665,96; $4.667.230.455.884.720 ;4667230455,88;48;Brazil;2006; 6.222 ;Superunicorn;19;15573,77694;6243,040798
Startup_68;AI;3; $371.146.408.869 ;371146,41; $11.066.201.278.735.700 ;11066201278,74;15;Canada;2013; 8.742 ;Superunicorn;12;29815,26931;24743,09392
Startup_69;Biotech;6; $92.812.864.947 ;92812,86; $4.634.153.806.239.820 ;4634153806,24;21;Australia;2007; 18.721 ;Superunicorn;18;49929,08037;4419,660236
Startup_70;Blockchain;1; $260.352.386.144 ;260352,39; $956.307.227.163.529 ;956307227,16;19;France;2007; 10.767 ;Superunicorn;18;3672,126417;13702,75717
Startup_71;HealthTech;7; $364.487.268.735 ;364487,27; $11.926.210.327.426.900 ;11926210327,43;14;Canada;2010; 5.998 ;Superunicorn;15;32719,51276;26034,80491
Startup_72;Blockchain;4; $74.463.101.032 ;74463,10; $16.203.928.014.186.900 ;16203928014,19;2;Singapore;2008; 12.334 ;Superunicorn;17;217609,1692;37231,55052
Startup_73;E-commerce;8; $134.478.038.606 ;134478,04; $4.537.818.813.982.470 ;4537818813,98;19;Australia;2005; 17.918 ;Superunicorn;20;33742,93961;7077,791506
Startup_74;Fintech;3; $49.101.802.084 ;49101,80; $1.354.841.679.996.850 ;1354841680,00;20;India;2013; 16.557 ;Superunicorn;12;27591,5042;2455,090104
Startup_75;Biotech;1; $158.288.252.488 ;158288,25; $5.586.959.852.453.200 ;5586959852,45;16;India;2020; 14.416 ;Superunicorn;5;35295,11177;9893,015781
Startup_76;SaaS;10; $108.542.702.126 ;108542,70; $4.630.172.763.526.160 ;4630172763,53;18;Australia;2016; 9.133 ;Superunicorn;9;42656,61468;6030,150118
Startup_77;Blockchain;7; $134.047.542.336 ;134047,54; $2.357.879.218.228.430 ;2357879218,23;20;Singapore;2004; 8.198 ;Superunicorn;21;17588,8728;6702,377117
Startup_78;HealthTech;8; $494.053.015.626 ;494053,02; $237.728.010.093.952 ;237728010,09;14;India;2021; 10.811 ;Superunicorn;4;480,17915;35289,50112
Startup_79;Fintech;8; $27.498.986.727 ;27498,99; $5.542.968.257.287.760 ;5542968257,29;9;Germany;2011; 18.955 ;Superunicorn;14;201568,9092;3055,44297
Startup_80;E-commerce;8; $453.398.929.871 ;453398,93; $8.054.285.187.148.060 ;8054285187,15;22;India;2005; 6.971 ;Superunicorn;20;17763,23511;20609,04227
Startup_81;Biotech;8; $84.485.410.672 ;84485,41; $25.905.559.657.149.500 ;25905559657,15;23;USA;2002; 6.933 ;Superunicorn;23;306626,6112;3673,278725
Startup_82;HealthTech;1; $363.134.301.413 ;363134,30; $7.772.600.871.780.340 ;7772600871,78;34;USA;2010; 2.816 ;Superunicorn;15;21403,20456;10680,42063
Startup_83;EdTech;8; $368.956.107.431 ;368956,11; $1.552.719.534.804.440 ;1552719534,80;32;Singapore;2012; 1.595 ;Superunicorn;13;4207,412609;11529,87836
Startup_84;SaaS;1; $187.626.436.181 ;187626,44; $69.033.353.890.913.100 ;69033353890,91;14;Singapore;2023; 11.895 ;Superunicorn;2;367928,7827;13401,8883
Startup_85;Biotech;5; $24.472.704.155 ;24472,70; $8.095.858.828.067.320 ;8095858828,07;27;China;2021; 12.903 ;Superunicorn;4;330810,7802;906,3964502
Startup_86;Biotech;7; $240.738.644.225 ;240738,64; $878.370.078.520.548 ;878370078,52;10;Germany;2002; 18.223 ;Superunicorn;23;3647,645947;24073,86442
Startup_87;HealthTech;2; $473.086.083.316 ;473086,08; $819.546.615.018.074 ;819546615,02;34;Canada;2000; 17.046 ;Superunicorn;25;1731,341415;13914,29657
Startup_88;AI;3; $27.006.796.261 ;27006,80; $4.800.271.506.759.950 ;4800271506,76;14;Australia;2020; 1.070 ;Superunicorn;5;177742,0933;1929,056876
Startup_89;SaaS;9; $105.497.703.609 ;105497,70; $3.208.096.453.804.390 ;3208096453,80;31;China;2005; 15.779 ;Superunicorn;20;30408,1591;3403,151729
Startup_90;E-commerce;9; $270.170.568.918 ;270170,57; $10.238.979.645.814.000 ;10238979645,81;8;Australia;2010; 10.413 ;Superunicorn;15;37897,20515;33771,32111
Startup_91;SaaS;7; $148.017.401.783 ;148017,40; $6.153.889.306.393.390 ;6153889306,39;24;USA;2016; 15.977 ;Superunicorn;9;41574,44473;6167,391741
Startup_92;Blockchain;7; $18.685.565.159 ;18685,57; $562.648.282.787.125 ;562648282,79;48;China;2006; 7.481 ;Superunicorn;19;30110,38694;389,2826075
Startup_93;HealthTech;4; $496.576.472.183 ;496576,47; $2.206.344.130.070.620 ;2206344130,07;19;USA;2022; 18.518 ;Superunicorn;3;4442,110485;26135,6038
Startup_94;EdTech;6; $437.309.356.143 ;437309,36; $1.443.186.416.934.470 ;1443186416,93;21;Singapore;2017; 313 ;Superunicorn;8;3299,149875;20824,25505
Startup_95;HealthTech;4; $423.671.203.757 ;423671,20; $18.506.506.243.386.700 ;18506506243,39;21;Canada;2012; 2.737 ;Superunicorn;13;43680,29361;20174,81923
Startup_96;Fintech;3; $83.593.178.131 ;83593,18; $2.239.262.009.884.900 ;2239262009,88;23;Singapore;2017; 16.248 ;Superunicorn;8;26786,61664;3634,486006
Startup_97;EdTech;7; $111.016.304.041 ;111016,30; $34.325.868.086.567.900 ;34325868086,57;43;France;2012; 12.279 ;Superunicorn;13;309195,639;2581,774513
Startup_98;SaaS;5; $81.746.625.348 ;81746,63; $2.610.638.765.116.800 ;2610638765,12;40;Brazil;2010; 16.046 ;Superunicorn;15;31934,73746;2043,665634
Startup_99;E-commerce;3; $54.094.057.276 ;54094,06; $2.291.586.359.294.550 ;2291586359,29;42;France;2001; 5.969 ;Superunicorn;24;42361,9965;1287,953745
Startup_100;Blockchain;8; $330.806.036.277 ;330806,04; $5.174.334.068.134.400 ;5174334068,13;39;Canada;2005; 542 ;Superunicorn;20;15640,59508;8482,206058
Startup_101;Fintech;3; $22.239.964.612 ;22239,96; $8.660.571.394.324.500 ;8660571394,32;9;UK;2005; 1.462 ;Superunicorn;20;389413,801;2471,107179
Startup_102;EdTech;7; $450.452.999.514 ;450453,00; $18.845.746.993.929.100 ;18845746993,93;21;Singapore;2018; 19.516 ;Superunicorn;7;41836,32157;21450,14283
Startup_103;Blockchain;4; $477.702.215.223 ;477702,22; $9.085.127.518.302.150 ;9085127518,30;8;Australia;2007; 4.044 ;Superunicorn;18;19017,39102;59712,7769
Startup_104;Biotech;1; $425.554.691.186 ;425554,69; $1.151.563.896.056.780 ;1151563896,06;9;USA;2000; 9.203 ;Superunicorn;25;2705,030317;47283,85458
Startup_105;Fintech;10; $405.521.109.334 ;405521,11; $16.887.114.468.162.700 ;16887114468,16;21;Australia;2009; 10.949 ;Superunicorn;16;41641,99732;19310,52902
Startup_106;E-commerce;5; $102.245.344.975 ;102245,34; $2.849.976.436.576.570 ;2849976436,58;45;France;2023; 2.265 ;Superunicorn;2;27872,89917;2272,118777
Startup_107;SaaS;7; $186.279.233.972 ;186279,23; $8.231.911.404.888.960 ;8231911404,89;25;Germany;2013; 15.119 ;Superunicorn;12;44190,24574;7451,169359
Startup_108;SaaS;3; $279.335.013.878 ;279335,01; $6.641.452.650.349.070 ;6641452650,35;24;Germany;2012; 16.931 ;Superunicorn;13;23774,94043;11638,95891
Startup_109;EdTech;1; $19.055.256.977 ;19055,26; $5.791.224.216.948.710 ;5791224216,95;21;Singapore;2015; 685 ;Superunicorn;10;303916,4032;907,3931894
Startup_110;E-commerce;3; $417.618.262.951 ;417618,26; $1.024.064.804.687.750 ;1024064804,69;37;Australia;2003; 3.645 ;Superunicorn;22;2451,155223;11286,98008
Startup_111;HealthTech;4; $29.115.953.566 ;29115,95; $12.129.551.003.722.900 ;12129551003,72;26;UK;2001; 9.827 ;Superunicorn;24;416593,6678;1119,844368
Startup_112;SaaS;6; $395.777.678.125 ;395777,68; $13.305.043.815.736.100 ;13305043815,74;6;USA;2001; 1.482 ;Superunicorn;24;33616,46898;65962,94635
Startup_113;Biotech;2; $406.172.058.636 ;406172,06; $700.881.234.215.335 ;700881234,22;34;Brazil;2018; 871 ;Superunicorn;7;1724,577177;11946,23702
Startup_114;Biotech;2; $197.399.660.266 ;197399,66; $5.342.730.965.915.700 ;5342730965,92;25;Australia;2017; 2.101 ;Superunicorn;8;27064,55299;7895,986411
Startup_115;SaaS;6; $120.790.818.867 ;120790,82; $5.176.553.240.218.470 ;5176553240,22;24;Germany;2018; 13.534 ;Superunicorn;7;42854,51906;5032,950786
Startup_116;HealthTech;10; $414.806.023.472 ;414806,02; $1.965.423.852.767.060 ;1965423852,77;12;Singapore;2020; 19.262 ;Superunicorn;5;4737,175777;34567,16862
Startup_117;HealthTech;5; $2.970.374.158 ;2970,37; $6.315.900.809.830.600 ;6315900809,83;27;Germany;2022; 1.075 ;Superunicorn;3;2126297,06;110,0138577
Startup_118;EdTech;5; $318.759.353.806 ;318759,35; $1.496.643.213.719.430 ;1496643213,72;2;France;2021; 16.615 ;Superunicorn;4;4694,213476;159379,6769
Startup_119;Biotech;9; $489.871.020.412 ;489871,02; $1.001.652.778.274.130 ;1001652778,27;9;France;2004; 10.744 ;Superunicorn;21;2043,727564;54430,11338
Startup_120;AI;1; $243.442.512.257 ;243442,51; $7.540.340.367.746.700 ;7540340367,75;8;USA;2003; 17.564 ;Superunicorn;22;30972,8028;30430,31403
Startup_121;Fintech;8; $323.166.682.375 ;323166,68; $8.713.378.948.186.410 ;8713378948,19;15;Brazil;2014; 6.293 ;Superunicorn;11;26961,49157;21544,44549
Startup_122;HealthTech;7; $35.970.695.069 ;35970,70; $8.936.817.435.278.620 ;8936817435,28;45;Australia;2007; 13.911 ;Superunicorn;18;248446,1712;799,3487793
Startup_123;EdTech;7; $1.210.987.852 ;1210,99; $3.533.314.976.319.450 ;3533314976,32;35;France;2001; 611 ;Superunicorn;24;2917711,982;34,59965291
Startup_124;AI;4; $405.832.547.685 ;405832,55; $10.666.646.232.548.100 ;10666646232,55;3;China;2014; 17.242 ;Superunicorn;11;26282,36809;135277,5159
Startup_125;Biotech;9; $104.945.889.663 ;104945,89; $37.913.319.782.543.100 ;37913319782,54;24;Brazil;2004; 10.065 ;Superunicorn;21;361264,4093;4372,745403
Startup_126;E-commerce;6; $424.331.179.392 ;424331,18; $20.389.236.539.748.800 ;20389236539,75;12;Canada;2014; 2.041 ;Superunicorn;11;48049,29074;35360,93162
Startup_127;SaaS;9; $472.479.242.372 ;472479,24; $2.257.704.555.921.220 ;2257704555,92;36;Canada;2014; 14.805 ;Superunicorn;11;4777,420623;13124,4234
Startup_128;Blockchain;1; $9.963.649.704 ;9963,65; $4.709.629.475.220.040 ;4709629475,22;35;Singapore;2010; 18.198 ;Superunicorn;15;472680,1575;284,6757058
Startup_129;Blockchain;6; $335.713.045.698 ;335713,05; $13.831.720.869.292.000 ;13831720869,29;14;Brazil;2011; 13.176 ;Superunicorn;14;41200,02286;23979,50326
Startup_130;Biotech;10; $148.597.662.394 ;148597,66; $5.820.844.542.537.280 ;5820844542,54;40;Germany;2017; 11.216 ;Superunicorn;8;39170,84462;3714,94156
Startup_131;EdTech;9; $108.664.078.367 ;108664,08; $337.503.274.853.194 ;337503274,85;50;Brazil;2023; 17.937 ;Superunicorn;2;3104,932337;2173,281567
Startup_132;Blockchain;4; $67.077.842.323 ;67077,84; $20.361.885.909.963.200 ;20361885909,96;31;Singapore;2021; 7.542 ;Superunicorn;4;303555,0657;2163,801365
Startup_133;AI;9; $216.244.298.816 ;216244,30; $9.684.369.294.297.210 ;9684369294,30;13;USA;2011; 12.176 ;Superunicorn;14;44783,3913;16634,17683
Startup_134;Blockchain;1; $335.391.932.147 ;335391,93; $141.017.686.671.437 ;141017686,67;30;Germany;2008; 7.707 ;Superunicorn;17;419,4564068;11179,73107
Startup_135;EdTech;4; $28.322.063.093 ;28322,06; $8.112.943.643.786.810 ;8112943643,79;32;Brazil;2010; 11.176 ;Superunicorn;15;286452,1308;885,0644717
Startup_136;EdTech;1; $302.136.419.414 ;302136,42; $895.565.452.183.277 ;895565452,18;23;Singapore;2017; 627 ;Superunicorn;8;2963,10957;13136,36606
Startup_137;Biotech;9; $194.659.886.569 ;194659,89; $32.840.189.747.737.900 ;32840189747,74;47;China;2017; 10.104 ;Superunicorn;8;168704,4808;4141,699714
Startup_138;Fintech;8; $148.997.275.845 ;148997,28; $6.800.634.564.458.860 ;6800634564,46;27;China;2022; 3.529 ;Superunicorn;3;45641,6772;5518,417624
Startup_139;SaaS;10; $37.355.873.669 ;37355,87; $12.047.108.054.164.700 ;12047108054,16;26;Brazil;2016; 9.803 ;Superunicorn;9;322494,6846;1436,764372
Startup_140;Fintech;8; $51.811.902.464 ;51811,90; $1.848.811.352.670.760 ;1848811352,67;4;Australia;2023; 6.011 ;Superunicorn;2;35682,13968;12952,97562
Startup_141;SaaS;10; $294.768.132.836 ;294768,13; $10.472.893.197.384.700 ;10472893197,38;4;UK;2022; 11.534 ;Superunicorn;3;35528,25853;73692,03321
Startup_142;HealthTech;5; $19.775.343.872 ;19775,34; $779.789.301.334.299 ;779789301,33;19;India;2005; 18.197 ;Superunicorn;20;39431,4016;1040,807572
Startup_143;Fintech;3; $477.054.481.357 ;477054,48; $12.197.472.011.325.300 ;12197472011,33;20;Singapore;2000; 3.412 ;Superunicorn;25;25567,29982;23852,72407
Startup_144;AI;1; $33.696.847.118 ;33696,85; $12.010.652.855.448.300 ;12010652855,45;47;Brazil;2022; 6.081 ;Superunicorn;3;356431,5414;716,954194
Startup_145;EdTech;10; $476.693.483.714 ;476693,48; $2.268.849.564.832.830 ;2268849564,83;10;France;2005; 3.706 ;Superunicorn;20;4758,556491;47669,34837
Startup_146;Fintech;9; $39.083.181.410 ;39083,18; $15.444.336.263.034.100 ;15444336263,03;31;Germany;2018; 14.243 ;Superunicorn;7;395164,7901;1260,747787
Startup_147;SaaS;9; $476.908.437.919 ;476908,44; $14.035.036.447.835.200 ;14035036447,84;41;China;2021; 19.297 ;Superunicorn;4;29428,20555;11631,91312
Startup_148;EdTech;10; $495.575.162.338 ;495575,16; $16.105.806.924.645.200 ;16105806924,65;31;Canada;2014; 6.854 ;Superunicorn;11;32498,22141;15986,29556
Startup_149;SaaS;2; $91.077.216.492 ;91077,22; $14.964.925.484.850.900 ;14964925484,85;8;India;2013; 361 ;Superunicorn;12;164309,3079;11384,65206
Startup_150;EdTech;10; $117.019.534.916 ;117019,53; $21.072.193.092.613.900 ;21072193092,61;9;Canada;2022; 928 ;Superunicorn;3;180073,1484;13002,17055
Startup_151;Fintech;6; $196.703.435.233 ;196703,44; $5.472.960.035.673.130 ;5472960035,67;17;Australia;2007; 6.559 ;Superunicorn;18;27822,40852;11570,79031
Startup_152;Biotech;2; $62.122.270.735 ;62122,27; $25.489.330.144.338.100 ;25489330144,34;32;UK;2007; 1.577 ;Superunicorn;18;410308,0541;1941,32096
Startup_153;Biotech;10; $21.361.058.193 ;21361,06; $6.159.536.137.742.710 ;6159536137,74;12;India;2020; 6.958 ;Superunicorn;5;288352,5114;1780,088183
Startup_154;EdTech;3; $236.876.417.187 ;236876,42; $11.722.669.062.171.300 ;11722669062,17;32;France;2002; 11.816 ;Superunicorn;23;49487,54429;7402,388037
Startup_155;Blockchain;1; $82.112.273.328 ;82112,27; $39.285.888.275.011.000 ;39285888275,01;26;Germany;2019; 19.898 ;Superunicorn;6;478440,1231;3158,164359
Startup_156;Biotech;5; $478.010.228.095 ;478010,23; $19.249.131.120.151.000 ;19249131120,15;50;USA;2019; 3.375 ;Superunicorn;6;40268,28712;9560,204562
Startup_157;AI;4; $280.417.017.414 ;280417,02; $6.711.381.134.882.060 ;6711381134,88;1;India;2008; 4.931 ;Superunicorn;17;23932,57292;280417,0174
